meter_id,building_id,unit_id,reading_type,reading_value,reading_unit,timestamp,meter_status
SM-101,BLD-ESSEN-03,APT-301,HEAT,267.4,kWh,2026-06-10T09:00:00,OK
,BLD-ESSEN-03,APT-302,HEAT,298.1,kWh,2026-06-10T09:01:00,OK
SM-103,BLD-ESSEN-03,APT-303,HEAT,-45.2,kWh,2026-06-10T09:02:00,ERROR
SM-104,BLD-ESSEN-03,APT-301,WATER,,m3,2026-06-10T09:00:00,WARNING
SM-105,BLD-ESSEN-03,APT-302,WATER,19.8,m3,2026-06-10T09:01:00,OK
SM-106,BLD-ESSEN-03,APT-303,WATER,99999.0,m3,2026-06-10T09:02:00,ERROR
SM-107,BLD-ESSEN-04,APT-401,HEAT,301.7,kWh,2029-01-15T08:00:00,OK
SM-108,BLD-ESSEN-04,APT-402,HEAT,0.0,kWh,2026-06-10T09:06:00,WARNING
SM-109,,APT-403,HEAT,256.3,kWh,2026-06-10T09:07:00,OK
SM-110,BLD-ESSEN-04,APT-401,WATER,21.5,m3,2026-06-10T09:05:00,OK
SM-111,BLD-ESSEN-04,APT-402,ELECTRICITY,445.9,kWh,2026-06-10T09:06:00,OK
SM-112,BLD-ESSEN-04,APT-403,ELECTRICITY,-120.0,kWh,2026-06-10T09:07:00,ERROR
SM-113,BLD-ESSEN-03,APT-301,ELECTRICITY,510.2,kWh,2026-06-10T09:00:00,OK
SM-114,BLD-ESSEN-03,APT-302,INVALIDTYPE,388.4,kWh,2026-06-10T09:01:00,OK
SM-115,BLD-ESSEN-03,APT-303,ELECTRICITY,72000.0,kWh,2026-06-10T09:02:00,ERROR
